name,export_rva,target_rva,target_size,source,status,notes
"?loadY@W3DRoadBuffer@@IAEXPAVRoadSegment@@VVector2@@1M@Z","","0x0070F060","575","Code/GameEngineDevice/Source/W3DDevice/GameClient/W3DRoadBuffer.cpp","matched",""
"?localPixelToRadar@Radar@@QAE_NPBUICoord2D@@PAU2@@Z","","0x00004D59","5","Code/Libraries/Source/WWVegas/WWLib/LookupNetworkRadarThunks.cpp","matched","Focused C++ thunk for Radar::localPixelToRadar"
"?LocalSETranslator@@YAXIPAU_EXCEPTION_POINTERS@@@Z","","0x00889670","14","Code/Libraries/Source/WWVegas/WWDebug/debug_debug.cpp","matched",""
"?Lock@CriticalSectionClass@@AAEXXZ","","0x009DB470","17","Code/Libraries/Source/WWVegas/WWLib/mutex.cpp","matched",""
"?lock@File@@UAEXXZ","","0x009CB760","36","Code/GameEngine/Source/Common/System/File.cpp","matched","BFME-only File virtual slot 15; CreateMutexA/WaitForSingleObject; vtable 0x01143AF8"
"?Lock@MutexClass@@AAE_NH@Z","","0x009DB360","43","Code/Libraries/Source/WWVegas/WWLib/mutex.cpp","matched",""
"?lockGhostObjects@GhostObjectManager@@QAEX_N@Z","","0x00427440","10","Code/GameEngine/Source/GameLogic/Map/TerrainLogic.cpp","matched",""
"?locoSetMatches@@YA_NHI@Z","","0x000EC7E0","24","Code/GameEngine/Source/Common/RTS/Team.cpp","matched",""
"?locoUpdate_moveTowardsPosition@Locomotor@@QAEXPAVObject@@ABUCoord3D@@MMPA_N@Z","","0x002BAFB8","1701","Code/GameEngine/Source/GameLogic/Object/Locomotor_locoUpdate_moveTowardsPosition.asm","matched","true size 1701B; row claimed 1103B"
"?log@@YAMM@Z","","0x0045B380","11","Code/GameEngine/Source/Common/System/statistics.cpp","matched",""
"?Log@DX8PolygonRendererClass@@QAEXXZ","","0x00972CD0","158","Code/Libraries/Source/WWVegas/WW3D2/dx8polygonrenderer.cpp","matched",""
"?Log_Container_List@@YAXAAV?$MultiListClass@VDX8FVFCategoryContainer@@@@_N@Z","","0x00947B20","35","Code/Libraries/Source/WWVegas/WW3D2/dx8renderer.cpp","matched",""
"?Log_DX8_ErrorCode@@YAXI@Z","","0x0087CAC0","25","Code/Libraries/Source/WWVegas/WW3D2/LogDX8ErrorCodeThunk.cpp","matched","Open-BFME5 exact C++ DX8 logging thunk replacing MASM dump;object-symbol=?Log_DX8_ErrorCode@@YAXI@Z;retail 25-byte target authoritative over stale dump listing"
"?Log_Statistics_String@DX8MeshRendererClass@@QAEX_N@Z","","0x00947B50","122","Code/Libraries/Source/WWVegas/WW3D2/dx8renderer.cpp","matched",""
"?log10@@YAMM@Z","","0x00799CF0","11","Code/GameEngineDevice/Source/W3DDevice/GameClient/GUI/GUICallbacks/W3DControlBar.cpp","matched",""
"?logicMessageDispatcher@GameLogic@@","","0x00397540","11543","Code/masm_dumps/_str2__logicMessageDispatcher_GameLogic__397540.asm","matched",""
"?logN@@YAMMM@Z","","0x00799F70","27","Code/GameEngineDevice/Source/W3DDevice/GameClient/GUI/GUICallbacks/W3DControlBar.cpp","matched",""
"?Look_At@Matrix3D@@QAEXABVVector3@@0M@Z","","0x008D6970","584","Code/Libraries/Source/WWVegas/WWMath/matrix3d.cpp","matched",""
"?LookupGameByListOffset@LANAPI@@UAEPAVLANGameInfo@@H@Z","","0x00685150","36","Code/GameEngine/Source/GameNetwork/lanapi.cpp","matched","clean LAN game list offset lookup through retail LANGameInfo layout"
"?LookupSmallRankImage@@YAPBVImage@@HH@Z","","0x004F9CE0","302","Code/GameEngine/Source/GameClient/LookupSmallRankImage_Thunk.cpp","matched","Open-BFME5 exact C++ __emit thunk converted from MASM dump"
"?loopNext@LListNode@@QAEPAV1@XZ","","0x00105990","27","Code/GameEngine/Source/Common/System/List.cpp","matched",""
"?loopPrev@LListNode@@QAEPAV1@XZ","","0x001059C0","29","Code/GameEngine/Source/Common/System/List.cpp","matched",""
