vtable_rva	label	slot	func_rva	func_name
0xD11070	`vftable'{for_`FXParticleSystem::CategoryModuleInfo<2>'}	4	0x10177	writeINI
0xD11074	`vftable'{for_`FXParticleSystem::ModuleTemplate'}	0	0x425F	thunk_FUN_009db630
0xD11074	`vftable'{for_`FXParticleSystem::ModuleTemplate'}	1	0x18462	clone
0xD11074	`vftable'{for_`FXParticleSystem::ModuleTemplate'}	2	0x1B00E	createModule
0xD11074	`vftable'{for_`FXParticleSystem::ModuleTemplate'}	3	0x10177	writeINI
0xD11088	`vftable'	1	0x1EDC1	LoadPostProcess
0xD11088	`vftable'	2	0x1DA43	GetSnapshotName
0xD11088	`vftable'	3	0x3C5B	DoXfer
0xD1109C	`vftable'{for_`FXParticleSystem::CategoryModuleInfo<4>'}	0	0x148B7	getClass
0xD1109C	`vftable'{for_`FXParticleSystem::CategoryModuleInfo<4>'}	1	0x1253	thunk_FUN_009db7b0
0xD1109C	`vftable'{for_`FXParticleSystem::CategoryModuleInfo<4>'}	2	0x16D2E	clone
0xD1109C	`vftable'{for_`FXParticleSystem::CategoryModuleInfo<4>'}	3	0xCE00	createModule
0xD1109C	`vftable'{for_`FXParticleSystem::CategoryModuleInfo<4>'}	4	0x49EDB	writeINI
0xD110A0	`vftable'{for_`FXParticleSystem::ModuleTemplate'}	0	0x1253	thunk_FUN_009db7b0
0xD110A0	`vftable'{for_`FXParticleSystem::ModuleTemplate'}	1	0x16D2E	clone
0xD110A0	`vftable'{for_`FXParticleSystem::ModuleTemplate'}	2	0xCE00	createModule
0xD110A0	`vftable'{for_`FXParticleSystem::ModuleTemplate'}	3	0x49EDB	writeINI
0xD110B4	`vftable'	1	0x1EDC1	LoadPostProcess
0xD110B4	`vftable'	2	0x1DA43	GetSnapshotName
0xD110B4	`vftable'	3	0x3C5B	DoXfer
0xD110C8	`vftable'{for_`FXParticleSystem::CategoryModuleInfo<4>'}	0	0x332FD	getClass
0xD110C8	`vftable'{for_`FXParticleSystem::CategoryModuleInfo<4>'}	1	0x96D3	thunk_FUN_009db930
0xD110C8	`vftable'{for_`FXParticleSystem::CategoryModuleInfo<4>'}	2	0x2BCFB	clone
0xD110C8	`vftable'{for_`FXParticleSystem::CategoryModuleInfo<4>'}	3	0x4407B	createModule
0xD110C8	`vftable'{for_`FXParticleSystem::CategoryModuleInfo<4>'}	4	0x160FE	writeINI
0xD110CC	`vftable'{for_`FXParticleSystem::ModuleTemplate'}	0	0x96D3	thunk_FUN_009db930
0xD110CC	`vftable'{for_`FXParticleSystem::ModuleTemplate'}	1	0x2BCFB	clone
0xD110CC	`vftable'{for_`FXParticleSystem::ModuleTemplate'}	2	0x4407B	createModule
0xD110CC	`vftable'{for_`FXParticleSystem::ModuleTemplate'}	3	0x160FE	writeINI
0xD110E0	`vftable'	1	0x1EDC1	LoadPostProcess
0xD110E0	`vftable'	2	0x1DA43	GetSnapshotName
0xD110E0	`vftable'	3	0x3C5B	DoXfer
0xD110F4	`vftable'{for_`FXParticleSystem::CategoryModuleInfo<4>'}	0	0x14F4C	getClass
0xD110F4	`vftable'{for_`FXParticleSystem::CategoryModuleInfo<4>'}	1	0x2261F	thunk_FUN_009dbab0
0xD110F4	`vftable'{for_`FXParticleSystem::CategoryModuleInfo<4>'}	2	0x16A40	clone
0xD110F4	`vftable'{for_`FXParticleSystem::CategoryModuleInfo<4>'}	3	0x7315	createModule
0xD110F4	`vftable'{for_`FXParticleSystem::CategoryModuleInfo<4>'}	4	0x160FE	writeINI
0xD110F8	`vftable'{for_`FXParticleSystem::ModuleTemplate'}	0	0x2261F	thunk_FUN_009dbab0
0xD110F8	`vftable'{for_`FXParticleSystem::ModuleTemplate'}	1	0x16A40	clone
0xD110F8	`vftable'{for_`FXParticleSystem::ModuleTemplate'}	2	0x7315	createModule
0xD110F8	`vftable'{for_`FXParticleSystem::ModuleTemplate'}	3	0x160FE	writeINI
0xD1110C	`vftable'	1	0x1EDC1	LoadPostProcess
0xD1110C	`vftable'	2	0x1DA43	GetSnapshotName
0xD1110C	`vftable'	3	0x3C5B	DoXfer
0xD11120	`vftable'{for_`FXParticleSystem::CategoryModuleInfo<4>'}	0	0x1AFB4	getClass
0xD11120	`vftable'{for_`FXParticleSystem::CategoryModuleInfo<4>'}	1	0x227A5	thunk_FUN_009dbc50
0xD11120	`vftable'{for_`FXParticleSystem::CategoryModuleInfo<4>'}	2	0x6CF3	clone
0xD11120	`vftable'{for_`FXParticleSystem::CategoryModuleInfo<4>'}	3	0x3963	createModule
0xD11120	`vftable'{for_`FXParticleSystem::CategoryModuleInfo<4>'}	4	0x15113	writeINI
0xD11124	`vftable'{for_`FXParticleSystem::ModuleTemplate'}	0	0x227A5	thunk_FUN_009dbc50
0xD11124	`vftable'{for_`FXParticleSystem::ModuleTemplate'}	1	0x6CF3	clone
0xD11124	`vftable'{for_`FXParticleSystem::ModuleTemplate'}	2	0x3963	createModule
0xD11124	`vftable'{for_`FXParticleSystem::ModuleTemplate'}	3	0x15113	writeINI
0xD11138	`vftable'	1	0x1EDC1	LoadPostProcess
0xD11138	`vftable'	2	0x1DA43	GetSnapshotName
0xD11138	`vftable'	3	0x3C5B	DoXfer
0xD1114C	`vftable'{for_`FXParticleSystem::CategoryModuleInfo<4>'}	0	0x7E0F	getClass
0xD1114C	`vftable'{for_`FXParticleSystem::CategoryModuleInfo<4>'}	1	0x35459	thunk_FUN_009dbdf0
0xD1114C	`vftable'{for_`FXParticleSystem::CategoryModuleInfo<4>'}	2	0x3BE7B	clone
0xD1114C	`vftable'{for_`FXParticleSystem::CategoryModuleInfo<4>'}	3	0x5597	createModule
0xD1114C	`vftable'{for_`FXParticleSystem::CategoryModuleInfo<4>'}	4	0x310F7	writeINI
0xD11150	`vftable'{for_`FXParticleSystem::ModuleTemplate'}	0	0x35459	thunk_FUN_009dbdf0
0xD11150	`vftable'{for_`FXParticleSystem::ModuleTemplate'}	1	0x3BE7B	clone
0xD11150	`vftable'{for_`FXParticleSystem::ModuleTemplate'}	2	0x5597	createModule
0xD11150	`vftable'{for_`FXParticleSystem::ModuleTemplate'}	3	0x310F7	writeINI
0xD11164	`vftable'	1	0x3AED1	LoadPostProcess
0xD11164	`vftable'	2	0x35198	GetSnapshotName
0xD11164	`vftable'	3	0x3D924	DoXfer
0xD11178	`vftable'{for_`FXParticleSystem::CategoryModuleInfo<5>'}	0	0x31336	getClass
0xD11178	`vftable'{for_`FXParticleSystem::CategoryModuleInfo<5>'}	1	0x33573	thunk_FUN_009dbf70
0xD11178	`vftable'{for_`FXParticleSystem::CategoryModuleInfo<5>'}	2	0x3DE92	clone
0xD11178	`vftable'{for_`FXParticleSystem::CategoryModuleInfo<5>'}	3	0x4823E	createModule
