size,rva,zh_symbol,zh_source,dump_file
168,0x633f80,?playerLeftGroupRoom@GameSpyInfo@@UAEXVAsciiString@@@Z,inputs/reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngine/Source/GameNetwork/GameSpy/PeerDefs.cpp,game/gen_asm/d_00630d60.asm
167,0x4eb9a0,?PopulateOldBuddyMessages@@YAXXZ,inputs/reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngine/Source/GameClient/GUI/GUICallbacks/Menus/WOLBuddyOverlay.cpp,game/gen_asm/d_004e5420.asm
166,0x925060,?Generate_Culling_Tree@MeshGeometryClass@@IAEXXZ,inputs/reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/Libraries/Source/WWVegas/WW3D2/meshgeometry.cpp,game/gen_asm/d_0091cbf0.asm
163,0x6d51b0,??1HLodPrototypeClass@@MAE@XZ,inputs/reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/Libraries/Source/WWVegas/WW3D2/hlod.cpp,game/gen_asm/d_006d2000.asm
162,0x4aec90,?populateButtonProc@ControlBar@@KAXPAVObject@@PAX@Z,inputs/reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngine/Source/GameClient/GUI/ControlBar/ControlBarStructureInventory.cpp,game/gen_asm/d_004ad980.asm
162,0x14c3b0,??1W3DShadowTexture@@UAE@XZ,inputs/reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngineDevice/Source/W3DDevice/GameClient/Shadow/W3DProjectedShadow.cpp,game/gen_asm/d_0014af50.asm
154,0x924880,??0MeshGeometryClass@@QAE@XZ,inputs/reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/Libraries/Source/WWVegas/WW3D2/meshgeometry.cpp,game/gen_asm/d_0091cbf0.asm
154,0x924880,??0HRawAnimClass@@QAE@XZ,inputs/reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/Libraries/Source/WWVegas/WW3D2/hrawanim.cpp,game/gen_asm/d_0091cbf0.asm
154,0x924880,??0HMorphAnimClass@@QAE@XZ,inputs/reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/Libraries/Source/WWVegas/WW3D2/hmorphanim.cpp,game/gen_asm/d_0091cbf0.asm
154,0x924880,??0HCompressedAnimClass@@QAE@XZ,inputs/reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/Libraries/Source/WWVegas/WW3D2/hcanim.cpp,game/gen_asm/d_0091cbf0.asm
147,0x60f620,?newCrateTemplateOverride@CrateSystem@@QAEPAVCrateTemplate@@PAV2@@Z,inputs/reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngine/Source/GameLogic/System/CrateSystem.cpp,game/gen_asm/d_0060bd30.asm
147,0x256710,??0BaseRegenerateUpdate@@QAE@PAVThing@@PBVModuleData@@@Z,inputs/reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngine/Source/GameLogic/Object/Update/BaseRenerateUpdate.cpp,game/gen_asm/d_0024e310.asm
144,0x7e3b40,??0HelicopterSlowDeathBehavior@@QAE@PAVThing@@PBVModuleData@@@Z,inputs/reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngine/Source/GameLogic/Object/Update/HelicopterSlowDeathUpdate.cpp,game/gen_asm/d_007df1f0.asm
143,0x201590,??1?$vector@VAsciiString@@V?$allocator@VAsciiString@@@_STL@@@_STL@@QAE@XZ,inputs/reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngine/Source/Common/Audio/DynamicAudioEventInfo.cpp,game/gen_asm/d_00200420.asm
142,0x139a80,?newOverride@ThingFactory@@AAEPAVThingTemplate@@PAV2@@Z,inputs/reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngine/Source/Common/Thing/ThingFactory.cpp,game/gen_asm/d_0012bdd0.asm
135,0x15bf80,?shouldExit@ExitConditions@@UBE_NPBVStateMachine@@@Z,inputs/reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngine/Source/GameLogic/AI/AIGuard.cpp,game/gen_asm/d_00153d10.asm
133,0x190340,??0DX8PolygonRendererClass@@QAE@IPAVMeshModelClass@@PAVDX8TextureCategoryClass@@II_NI@Z,inputs/reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/Libraries/Source/WWVegas/WW3D2/dx8polygonrenderer.cpp,game/gen_asm/d_0018bdd0.asm
132,0x5ea590,??0GameSpyGameSlot@@QAE@ABV0@@Z,inputs/reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngine/Source/GameNetwork/GameSpy/PeerDefs.cpp,game/gen_asm/d_005e6700.asm
