finding,file,line,confidence,source
AABTreeClass+0xc|m_bfmeRoot|Nodes,game/GameEngine/Source/Common/BfmeConv911.cpp,30,1.00,layout_witness
PlayerList+0xc|m_localPlayer|m_local,game/GameEngine/Source/GameLogic/Object/Update/StealthUpdate_hintDetectableWhileUnstealthed.cpp,66,1.00,layout_witness
PlayerList+0xc|m_localPlayer|m_local,game/GameEngine/Source/GameLogic/Object/Update/StealthUpdateChangeVisualDisguise.cpp,182,1.00,layout_witness
PlayerList+0xc|m_localPlayer|m_local,game/GameEngine/Source/GameClient/GUI/ControlBar/ControlBarPurchaseScience.cpp,35,1.00,layout_witness
PlayerList+0xc|m_localPlayer|m_local,game/GameEngine/Source/GameClient/GUI/ControlBar/ControlBar_updateSpecialPowerShortcut.cpp,50,1.00,layout_witness
PlayerList+0xc|m_localPlayer|m_local,game/GameEngine/Source/GameClient/GUI/ControlBar/ControlBar_getStarImage_Thunk.cpp,71,1.00,layout_witness
PlayerList+0xc|m_localPlayer|m_local,game/GameEngine/Source/GameClient/GUI/GUICallbacks/Menus/ScoreScreenInitSinglePlayer.cpp,24,1.00,layout_witness
PlayerTemplate+0x8|m_displayName|m_side,game/GameEngine/Source/GameClient/GUI/SkirmishScreenApplySlotPlayerTemplate.cpp,49,1.00,field_names
PlayerTemplate+0xbd|m_isPlayableSide|m_playableSide,game/GameEngine/Source/GameClient/GUI/GUICallbacks/Menus/SkirmishPreferences_getPreferredFaction.cpp,58,1.00,field_names
PlayerTemplate+0xc0|m_intrinsicSciencePurchasePoints|m_intrinsicSPP,game/GameEngine/Source/Common/RTS/PlayerRankAndScience.cpp,100,1.00,field_names
PlayerTemplateStore+0x8|m_begin|m_playerTemplates,game/GameEngine/Source/GameClient/GUI/GUICallbacks/Menus/SkirmishPreferences_getPreferredFaction.cpp,74,1.00,layout_witness
ProductionPrerequisite+0x0|m_name|m_prereqUnits,game/GameEngine/Source/Common/RTS/ProductionPrerequisiteCopyBody.cpp,55,1.00,layout_witness
PropagandaTowerBehavior+0x28|m_insideList|m_lastScanFrame,game/GameEngine/Source/GameLogic/Object/Behavior/PropagandaTowerBehaviorRemoveAllInfluence.cpp,54,1.00,layout_witness
Radar+0x1468|m_reconstructTerrain|m_queueTerrainRefreshFrame,game/GameEngine/Source/Common/System/Radar_refreshTerrain.cpp,14,1.00,layout_witness
RefCountClass+0x4|m_numRefs|NumRefs,game/GameEngineDevice/Source/W3DDevice/GameClient/W3DDisplayReset.cpp,38,1.00,layout_witness
RefCountClass+0x4|m_numRefs|NumRefs,game/GameEngineDevice/Source/W3DDevice/GameClient/Rva006F92D0ReleaseResources.cpp,36,1.00,layout_witness
RefCountClass+0x4|m_numRefs|NumRefs,game/GameEngineDevice/Source/W3DDevice/GameClient/W3DSmudgeManagerTestHardwareSupport.cpp,183,1.00,layout_witness
RefCountClass+0x4|m_numRefs|NumRefs,game/GameEngineDevice/Source/W3DDevice/GameClient/RTS2DScene_Ctor_Thunk.cpp,97,1.00,layout_witness
RefCountClass+0x4|m_numRefs|NumRefs,game/GameEngineDevice/Source/W3DDevice/GameClient/W3DStatusCircleCtorThunk.cpp,45,1.00,layout_witness
RefCountClass+0x4|m_numRefs|NumRefs,game/Libraries/Source/WWVegas/WW3D2/MaterialPassClassCtorThunk.cpp,22,1.00,layout_witness
RefCountClass+0x4|m_numRefs|NumRefs,game/Libraries/Source/WWVegas/WW3D2/MeshClassBaseDestructor.cpp,25,1.00,layout_witness
RefCountClass+0x4|m_numRefs|NumRefs,game/Libraries/Source/WWVegas/WW3D2/RenderObjClassDestructorThunk.cpp,29,1.00,layout_witness
RefCountClass+0x4|m_refCount|NumRefs,game/GameEngineDevice/Source/MilesAudioDevice/PlayingAudioConstructor.cpp,35,1.00,layout_witness
RefCountClass+0x4|m_refCount|NumRefs,game/GameEngineDevice/Source/W3DDevice/GameClient/BaseHeightMapResetBuffer_removeTreeAtIndex.cpp,25,1.00,layout_witness
