rva,size,confidence,evidence
0x42B930,44,high,pad16;jmp;prologue;flowend
0x42B970,46,high,pad16;jmp;flowend
0x42BB9D,3,low,abut;flowend
0x42C070,19,high,pad16;jmp;flowend
0x42C5A0,77,high,pad16;jmp;flowend
0x42D0D0,9,high,pad16;jmp;flowend
0x42D220,32,high,pad16;jmp;prologue;flowend
0x42D250,30,high,pad16;jmp;flowend
0x42D280,29,high,pad16;jmp;flowend
0x42D410,3,high,pad16;jmp;flowend
0x42D420,42,high,pad13;jmp;flowend
0x42D460,435,high,pad16;jmp;flowend
0x42DCD0,29,high,pad16;jmp;flowend
0x42DE10,39,high,pad16;jmp;prologue;flowend
0x42DED0,1,high,pad16;jmp;flowend
0x42DEE0,1,high,pad15;jmp;flowend
0x42DEF0,1,high,pad15;jmp;flowend
0x42E2D0,31,high,pad9;jmp;flowend
0x42E300,7,high,pad16;jmp;flowend
0x42E310,7,high,pad9;jmp;flowend
0x42E320,13,high,pad9;jmp;flowend
0x42E330,7,medium,pad3;jmp;flowend
0x42E340,6,high,pad9;jmp;flowend
0x42E350,9,high,pad10;jmp;flowend
0x42E370,7,high,pad9;jmp;flowend
0x42E3B0,50,high,pad16;jmp;flowend
0x42E3F0,13,high,pad14;jmp;flowend
0x42E430,9,high,pad16;jmp;flowend
0x42E480,9,high,pad9;jmp;flowend
0x42E4D0,9,high,pad9;jmp;flowend
0x42E69D,12,low,abut;flowend
0x42E700,20,high,pad16;jmp;flowend
0x42E720,11,high,pad12;jmp;flowend
0x42E730,11,high,pad5;jmp;flowend
0x42E770,35,high,pad13;jmp;flowend
0x42E7A0,25,medium,pad13;flowend
0x42E840,14,high,pad13;jmp;flowend
0x42E860,3,high,pad16;jmp;flowend
0x42E870,4,high,pad13;jmp;flowend
0x42E880,3,high,pad12;jmp;flowend
0x42E890,1,high,pad13;jmp;flowend
0x42E8A0,3,high,pad15;jmp;flowend
0x42E8B0,1,high,pad13;jmp;flowend
0x42E8C0,6,high,pad15;jmp;flowend
0x42E8D0,9,high,pad10;jmp;flowend
0x42E8E0,6,high,pad7;jmp;flowend
0x42E8F0,3,high,pad10;jmp;flowend
0x42E900,6,high,pad13;jmp;flowend
0x42E910,9,high,pad10;jmp;flowend
0x42E920,13,high,pad7;jmp;flowend
0x42E930,3,medium,pad3;jmp;flowend
0x42E940,1,high,pad13;jmp;flowend
0x42E950,22,high,pad15;jmp;flowend
0x42E970,1,high,pad10;jmp;flowend
0x42E980,13,high,pad15;jmp;flowend
0x42E990,11,medium,pad3;jmp;flowend
0x42E9A0,1,high,pad5;jmp;flowend
0x42E9B0,9,high,pad15;jmp;flowend
0x42E9C0,23,high,pad7;jmp;flowend
0x42E9E0,1,high,pad9;jmp;flowend
0x42E9F0,5,high,pad15;jmp;flowend
0x42EA00,5,high,pad11;jmp;flowend
0x42EA10,5,high,pad11;jmp;flowend
0x42EA20,18,high,pad11;jmp;flowend
0x42EA40,18,high,pad14;jmp;flowend
0x42EA60,17,high,pad14;jmp;flowend
